"address";"region"
"215 км рзд. (елецкий р-н., липецкая обл.) [4800800010500]";Липецкая область
"215113, обл. смоленская, р-н вяземский, г. вязьма, ул. московская, д. 7, кв. 75";Смоленская область
"236003, область калининградская, г. калининград, ул. толбухина, д. 24";Калининградская область
"238152, калининградская обл., г. черняховск, ул. победы, д. 54";Калининградская область
"241022, г. брянск, ул. новозыбковская, д. 19, кв. 111";Брянская область
"241520, область брянская, р-н брянский, с супонево, ул. фрунзе, д. 83а, офис 210";Брянская область
"242305, брянская область, брасовский р-н, д погребы, ул. лесная, д. д.4";Брянская область
"243600, брянская область, г.злынка, ул.рощинская, д.13";Брянская область
"248001, г. калуга, ул. георгиевская, д. 39";Калужская область
"249144 калужская область, перемышльский район, с. корекозево, ул. черемушки, д. 2, кв. 10.";Калужская область
"249340, калужская область, г. жиздра, пер. мтс, д.8";Калужская область
"249415, калужская обл, людиновский р-н, д манино, ул горчакова, д 25";Калужская область
"297327, республика крым, с. жемчужина крыма, ул. кооперативная, 4";Республика Крым
"298100, республика крым, г.о. феодосия, г феодосия, ул советская, д. 10, этаж 1, помещ. 1-4 литер а";Республика Крым
"299008 г.севастополь ул.тульская д.3";Севастополь
"301107, обл. тульская, р-н. ленинский, п. шатск, ул. полевая, д. 2а, кв. 4";Тульская область
"301605, тульская область, г. узловая, ул. полевая, д. 12, кв. 68";Тульская область
"302010, орловская обл., г. орел, пер. бетонный, д. 11, ком. 60";Орловская область
"302027, г. орел, ул. октябрьская, д. 77, кв. 66";Орловская область
"302030, орловская обл., г. орел, ул. московская, д. 66, кв. 53";Орловская область
"303340, орловская область, глазуновский район, д. кунач, ул. солнечная, д. 6, кв. 1";Орловская область
"303930, орловская обл., хотынецкий р-н, пгт. хотынец, ул. им. сергея поматилова, д. 24, кв. 1";Орловская область
"305000, курская область, г. курск, ул. нижняя набережная, д. 31";Курская область
"305022, курская обл., г. курск, пер. щигровский 11-й, д. 1";Курская область
"305029, курская обл., г. курск, ул. красный октябрь, д. 10, пом. 9";Курская область
"307176, курская обл., г. железногорск, ул. гайдара, д. 6, к. 3, кв. 16";Курская область
"307179, курская обл., г. железногорск, ул. всесвятская, д. 3";Курская область
"307750, курская область, р-н льговский, с. пр. слободка, ул. буденного, д. 13";Курская область
"308002 белгородская область, г. белгород, ул. парковая, д. 2, кв. 24";Белгородская область
"308008, г. белгород, ул. молодежная, д. 8, кв. 3";Белгородская область
"308027, белгородская область, г. белгород, ул. лермонтова, д. 49-а, кв. 126";Белгородская область
"308031, белгородская область, город белгород, г белгород, г белгород, ул есенина, д. 44а";Белгородская область
"308501, обл белгородская, р-н белгородский, п дубовое, мкр. улитка, ул счастливая, д. 2, кв. 27";Белгородская область
"308510, белгородская область, пгт разумное, ул спортивная, 19";Белгородская область
"308510, белгородская область, пос. разумное, ул. березовая, 15";Белгородская область
"309130, белгородская область, с. вознесенское, ул. юдино, 31";Белгородская область
"309235, область белгородская, р-н корочанский, с. дальняя игуменка, ул. пятилетки, д.1а";Белгородская область
"309500, белгородская область, ст. котел промузел, г. старый оскол, пл-ка монтажная проезд ш-5 (станция котел промузел тер), д.10";Белгородская область
"309994, белгородская область, валуйский район, г. валуйки, ул. центральная, д. 9";Белгородская область
"344002, г. ростов-на-дону, пер. газетный, 47б, офис 4";Ростовская область
"344022, г. ростов-на-дону, ул. береговая, д. 67, ком. 14";Ростовская область
"344091, г. ростов-на-дону, ул. 2-я краснодарская, д. 143/1, кв.36";Ростовская область
"346050, ростовская область, п.тарасовский, ул. стадионная, д. 30";Ростовская область
"346330, ростовская область, г. донецк, ул. суворова, д.1-а";Ростовская область
"346407, ростовская область, г. новочеркасск, ул. крылова, д. 14 а";Ростовская область
"347556, ростовская область, х. красный скотовод, ул. гагарина, д. 32";Ростовская область
"347660, ростовская область, р-н егорлыкский, ст-ца егорлыкская, пер гагарина, д. 77";Ростовская область
"347872, ростовская область, г гуково, ул трамвайная, д. 1а";Ростовская область
"350000, краснодарский край, краснодар, ул.им.будёного, д.123, оф.27/8";Краснодарский край
"350075, краснодарский край, г. краснодар, ул. кубанская, д. 45, корп. 1, кв. 31";Краснодарский край
"350089, краснодарский край, г. краснодар, ул. бульварное кольцо, д.15, кв.34";Краснодарский край
"350909, краснодарский край, г. краснодар, карасунский округ, ст.старокорсунская, пер. молодежный, д. 24";Краснодарский край
"352380, краснодарский край, г. кропоткин, пре. лесной, д. 30, кв. 75";Краснодарский край
"352387, краснодарский край, кавказский район, г. кропоткин, ул. сетевая, д. 16а";Краснодарский край
"352685, краснодарский край, пгт. нефтегорск, ул. лермонтова, 45";Краснодарский край
"353203, краснодарский край, ст. динская ул. береговая 113";Краснодарский край
"353375, краснодарский край, с. киевское, ул. горького, д. 26";Краснодарский край
"353439, краснодарский край, г.о. город-курорт анапа, хутор красный, тер снт южное, ул жасминовая, д.47";Краснодарский край
"353740, краснодарский край, р-н ленинградский, ст-ца ленинградская, ул. пушкина, д. 180";Краснодарский край
"353913, краснодарский край, г. новороссийск, ул. героев десантников, д. 29, офис 205а";Краснодарский край
"354003, россия, краснодарский край, г. сочи, ул. макаренко, д. 8, корп. б/з";Краснодарский край
"355004, ставропольский край, г. ставрополь, ул. серова д. 109, к. а.";Ставропольский край
"355011, ставропольский край, г. ставрополь, ул. 50 лет влксм, д. 67/4, кв. 44";Ставропольский край
"355037, ставропольский край, г ставрополь, ул космонавтов, 22, кв. 44";Ставропольский край
"356526, ставропольский край, с. высоцкое, пер. нагорный, д. 1";Ставропольский край
"357204, ставропольский край, минераловодский р-он,  х. красный пахарь,, ул. веселая, д.41";Ставропольский край
"358000, республика калмыкия, г. элиста, ул. п. осипенко, д. 31, кв. 15";Республика Калмыкия
"361535, кабардино-балкарская республика, баксанский район, г. баксан, ул. большевик, 9";Кабардино-Балкарская Республика
"367000, республика дагестан, г. махачкала, ул. дахадаева, д. 73, к. а";Республика Дагестан
"368280, респ. дагестан, р-н. акушинский, с. акуша";Республика Дагестан
"368620, республика дагестан, дербентский р-н, с. митаги-казмаляр";Республика Дагестан
"368660,республика дагестан, табасаранский р-н, с. новолидже, ул. центральная, 23";Республика Дагестан
"369009, карачаево-черкесская республика, г. черкесск, ул. партизанская, д.2, к.а";Карачаево-Черкесская Республика
"385000, республика адыгея, г. майкоп, ул. юдина, 3а";Республика Адыгея (Адыгея)
"390000, рязанская обл., г. рязань, ул. ленина, д. 27.";Рязанская область
"390005, область рязанская, город рязань, улица 1-я железнодорожная, дом 54, помещение н4";Рязанская область
"390035, рязанская область, г. рязань, ул. островского, д. 46, кв. 40";Рязанская область
"390043, г. рязань, ул. старореченская, с.т стройдеталь, д. 45";Рязанская область
"391986, рязанская область, с.журавинка, ул. центральная, д.77";Рязанская область
"392000, область тамбовская, город тамбов, улица советская, дом 94, офис 204)";Тамбовская область
"392561, тамбовская область, р-н тамбовский, с. авдеевка, ул. садовая, д.38";Тамбовская область
"393702, тамбовская область, р.п. первомайский, ул. школьная,  9";Тамбовская область
"394002, г. воронеж, ул. рижская, д. 8, кв. 76";Воронежская область
"394019, воронежская область, г. воронеж, пер. партизанский, д.43";Воронежская область
"394043, воронежская область, г.о. город воронеж, г воронеж, ул ленина, д. 96, офис 205";Воронежская область
"394064, г. воронеж, ул. старых большевиков, д. 54а";Воронежская область
"396420,воронежская обл,павловский м.р-н,город павловск г.п.,павловск г, мкр. гранитный, корп. 30, кв. 16";Воронежская область
"398000, г. липецк, ул.бехтеева, д.5, кв.360";Липецкая область
"398027, г. липецк, ул. мистюкова, д. 2, кв. 21";Липецкая область
"398057, липецкая область, г. липецк, елецкое шоссе, д. 7а, кв. 253";Липецкая область
"400075, г. волгоград, ул. колпинская, д. 1а, корп. 3, кв. 3";Волгоградская область
"400138, волгоградская обл., гор. волгоград, ул. снт электромонтажник, участок № 1";Волгоградская область
"403116, волгоградская обл., г. урюпинск, ул. радищева, д.16., кв.7";Волгоградская область
"403343, волгоградская область, г. михайловка, ул. серафимовича, 32а, кв. 10";Волгоградская область
"404411, волгоградская область, р-н суровикинский, г. суровикино, ул. орджоникидзе, д. 83, кв. 7";Волгоградская область
"404462, волгоградская область, рп. чернышковский, ул. восточная, 46";Волгоградская область
"410009, г. саратов, ул. дачная, д. 30, кв. 42";Саратовская область
"410017, саратовская область, г. саратов, ул. дома 8 марта, д. 2, кв. 43";Саратовская область
"410030, саратовская область, г. саратов, ул. им. академика семенова н.н., д.5, оф. 10";Саратовская область
"410039, г саратов, ул им азина в.м., д. 17, кв. 63";Саратовская область
"410041, саратовская область, г. саратов , ул. измайлова, д. 10, кв. 52";Саратовская область
"410071, саратовская область, г. саратов, ул. шелковичная, влд 186, офис 3";Саратовская область
"410076, саратовская область, г.саратов, ул.чернышевского, д. 14, кв. 219";Саратовская область
"412353, саратовская обл., балашовский р-н,с. гусевка, ул. коммунистическая, 22";Саратовская область
"412370, саратовская область, самойловский р-н, р.п. самойловка, ул. ревякина д. 33";Саратовская область
"412860, саратовская область, лысогорский район, р.п. лысые горы , ул. советская, д.4";Саратовская область
"413105, саратовская область, г.энгельс, промзона 1-й микрорайон";Саратовская область
"413159, саратовская область, п. анисовский, ул. московская, д. 20/2";Саратовская область
"413274, саратовская обл., р-н ровенский, с. кривояр, ул. молодежная, д. 4";Саратовская область
"413824, саратовская область, село плеханы, ул зеленая, д.6";Саратовская область
"414041, астраханская область, г. астрахань, ул. рыбинская, стр. 17";Астраханская область
"416502 астраханская область, ахтубинский район, г.ахтубинск, мкр. мелиораторов, д. 12., кв. 23";Астраханская область
"420043, республика татарстан (татарстан), г. казань, ул. калинина, д. 4, кв. 1";Республика Татарстан (Татарстан)
"420094, республика татарстан, г. казань, ул. м. чуйкова, д. 13, кв.9";Республика Татарстан (Татарстан)
"420107, республика татарстан, г. казань, ул. марселя салимжанова, д. 15/8в, кв.52";Республика Татарстан (Татарстан)
"420111, г.казань, ул.чернышевского, д. 43/2";Республика Татарстан (Татарстан)
"422230, республика татарстан, г. агрыз, ул. чапаева, д. 1, кв. 18";Республика Татарстан (Татарстан)
"422662, республика татарстан, рыбно-слободский район, село кугарчино, улица дружбы";Республика Татарстан (Татарстан)
"422701, республика татарстан, р-н высокогорский, с высокая гора, ул. рождественская, д 5";Республика Татарстан (Татарстан)
"423040, рт, г. нурлат, ул. торговая, д. 25";Республика Татарстан (Татарстан)
"423455, республика татарстан, г. альметьевск, б-р мухаммадьяра, д.26";Республика Татарстан (Татарстан)
"423651, респ татарстан, г менделеевск, ул габдуллы тукая, 12, 184";Республика Татарстан (Татарстан)
"423838, республика татарстан (татарстан), г. набережные челны, ул. раскольникова, д.35, 1";Республика Татарстан (Татарстан)
"423941, республика татарстан, бавлинский р-н, село исергапово, ул родниковая, 18";Республика Татарстан (Татарстан)
"426052, удмуртская республика, г. ижевск, ул. прохладная, д. 23";Удмуртская Республика
"427552, удмуртская республика, балезинский р-н, пос. балезино, ул. гагарина, д. 37, кв. 2";Удмуртская Республика
"428024, г. чебоксары, чувашская республика, ул. эгерский бульвар д. 35, кв. 42";Чувашская Республика — Чувашия
"428028, чувашия чувашская республика, г. чебоксары, проезд монтажный, 17";Чувашская Республика — Чувашия
"429120, чувашская республика, г. шумерля, ул. мира, д. 12, кв. 98";Чувашская Республика — Чувашия
"429185, чувашская республика, шемуршинский р-н, с. шамкино, ул. шамкинская, д. 2";Чувашская Республика — Чувашия
"429305, чувашская республика - чувашия, канашский район, д. верхняя яндоба, ул. школьная, д. 19";Чувашская Республика — Чувашия
"429333, чувашская республика, г канаш, ул. куйбышева, д. 17, кв. 56";Чувашская Республика — Чувашия
"429430, чувашская республика, козловский р-н, гор. козловка, ул. лобачевского, д. 37, кв. 21";Чувашская Республика — Чувашия
"429509, чувашская республика, чебоксарский район, пос. новое атлашево, пер. кудряшова, д. 6, кв. 43";Чувашская Республика — Чувашия
"429525, чувашская республика, чебоксарский р-н, д. яуши, ул. ленина, д. 21";Чувашская Республика — Чувашия
"429530, чувашская республика, моргаушский р-н д. шатракасы, ул. центральная, д. 58";Чувашская Республика — Чувашия
"429822, чувашская республика, г. алатырь, ул. большая луговая, д. 8";Чувашская Республика — Чувашия
"429958, чувашская республика, г.новочебоксарск, б-р. зеленый, д.20, кв.37";Чувашская Республика — Чувашия
"430005, республика мордовия, г. саранск, пр-кт ленина, д. 21";Республика Мордовия
"430034, республика мордовия, г.о. саранск, г саранск, пр-кт 60 лет октября, д. 36";Республика Мордовия
"431200, респ. мордовия, теньгушевский р-н, п. барашево, ул. клубная, д. 5, кв. 3";Республика Мордовия
"431370, рм, с. ельники, ул. луговая, д.84, кв.2";Республика Мордовия
"440000, пензенская обл., мокшанский р-н, с. царевщино, ул. набережная, д. 4, кв. 1";Пензенская область
"440008, пензенская область, г пенза, ул кулакова, 2-229";Пензенская область
"440011, пензенская область, г. пенза, пр-кт победы, д. 26, кв. 42";Пензенская область
"440040, пензенская обл., г пенза, ул. усадебная, д.37";Пензенская область
"440056, пензенская область, г. пенза, ул. ростовская, д. 51, кв. 1";Пензенская область
"440505, пензенская область, пензенский р-н, ст.кривозеровка, железнодорожная ул., 3 д., 4 кв.";Пензенская область
"440508, пензенская область, село любятино, ул зеленая, 14";Пензенская область
"442136, пензенская область, село сорокино, ул шведская, 4а";Пензенская область
"442138, пензенская область, село прянзерки, ул центральная, 83";Пензенская область
"442400, пензенская область, село кондоль, пензенский пер, 2, 1";Пензенская область
"442530, пензенская область, с. соловейка, ул. октябрьская, д. 5, кв. 1";Пензенская область
"442695,пензенская область, никольскицй район, с. казарка, ул. выселки, д.68";Пензенская область
"442733, пензенская область, лунинский район, с. михайловка, ул. молодежная, д. 19";Пензенская область
"442780, обл. пензенская, р-н. бессоновский, с. бессоновка, ул. компрессорная, д. 90а";Пензенская область
"442834, пензенская область, деревня плещеевка, ул первомайская, 26";Пензенская область
"442960, область пензенская, город заречный, улица зеленая, 6";Пензенская область
"442963, пензенская область, г. заречный, ул. зеленая, д. 3, кв. 56";Пензенская область
"443017, самарская область, г. самара, ул. херсонская, д. 36,";Самарская область
"443029, самарская область, г.о. самара, вн.р-н промышленный, г самара, ул солнечная, д. 26а";Самарская область
"443052, г. самара, ул. железной дивизии, д. 3, кв. 163";Самарская область
"445030, самарская область, г тольятти, ул 70 лет октября, 23, 66";Самарская область
"445042, самарская область, г тольятти, ул свердлова, 24, 148";Самарская область
